Department,Page Title,Box Title,Box Subtitle,Box Text,Box Image Url,Box Image Alt,Page URL
International Relations,About us,Foundation and history of the IR Department, Learn more about our history,None,https://www.lse.ac.uk/international-relations/assets/images/lse/HoughtonStreetOld-16-9.jpg,HoughtonStreetOld-16-9,https://www.lse.ac.uk//international-relations/about-us
International Relations,About us,David Davies of Llandinam Research Fellowship, Find out more,None,https://www.lse.ac.uk/international-relations/assets/images/lse/David-Davies-DINAM-16-9.jpg,David_Davies_DINAM-16-9,https://www.lse.ac.uk//international-relations/about-us
International Relations,About us,Martin Wight memorial lecture," Find out more about the life and works of Martin Wight, and the memorial lectures",None,https://www.lse.ac.uk/international-relations/assets/images/logos/wight-martin-lecture/wight-martin-747x420-16-9.jpg,wight-martin-747x420-16-9,https://www.lse.ac.uk//international-relations/about-us
International Relations,News,IR events and podcasts, Find out what's happening in the IR Department and listen to podcasts of previous events,None,https://www.lse.ac.uk/international-relations/assets/images/lse/event-world-disorders-747x420-16-9.jpg,event-world-disorders-747x420-16-9,https://www.lse.ac.uk//international-relations/news
International Relations,News,IR Alumni community, Find out more about our alumni community and how to stay involved,None,https://www.lse.ac.uk/international-relations/assets/images/alumni/alumni-arms-round-747x420-16-9.jpg,alumni-arms-round-747x420-16-9,https://www.lse.ac.uk//international-relations/news
International Relations,Study,Our programmes, Find out about the programmes of study available in the department,None,https://www.lse.ac.uk/international-relations/assets/images/EGI-branded/EGI-16-9/programmes-study-egi-747x420-16-9.jpg,programmes-study-egi-747x420-16-9,https://www.lse.ac.uk//international-relations/study/study
International Relations,Study,"Meet, visit and discover LSE"," Discover more about being an LSE student: attend an open day or campus tour, watch a video",None,https://www.lse.ac.uk/international-relations/assets/images/EGI-branded/EGI-16-9/globe-old-building-discover-lse-EGI-747x420.jpg,globe-old-building-discover-lse-EGI-747x420,https://www.lse.ac.uk//international-relations/study/study
International Relations,Study,Virtual Graduate Open Events November 2023, Watch the video of our online event to find out how to apply for a Master's in IR at LSE,None,https://www.lse.ac.uk/international-relations/assets/images/lse/centre-building-747x420.jpg,centre-building-747x420,https://www.lse.ac.uk//international-relations/study/study
International Relations,Study,Videos, Watch our introductory videos on international relations,None,https://www.lse.ac.uk/international-relations/assets/images/generic/video-camera-747x420-16-9.jpg,video-camera-747x420-16,https://www.lse.ac.uk//international-relations/study/study
International Relations,Study,IR offer holder information, Joining us in September? Find out more here,None,https://www.lse.ac.uk/international-relations/assets/images/EGI-branded/EGI-16-9/two-students-laptops-offer-holders-EGI-747x420-16-9.jpg,two-students-laptops-offer-holders-EGI-747x420-16-9,https://www.lse.ac.uk//international-relations/study/study
