tv_show,season_num,episode_num,paragraph_id,link_title,link_url
Peaky Blinders,1,1,1,Shelbys,https://peaky-blinders.fandom.com/wiki/Shelby_Family
Peaky Blinders,1,1,1,Arthur Shelby,https://peaky-blinders.fandom.com/wiki/Arthur_Shelby
Peaky Blinders,1,1,2,church,https://peaky-blinders.fandom.com/wiki/Catholic_Church
Peaky Blinders,1,1,2,Polly Gray,https://peaky-blinders.fandom.com/wiki/Polly_Gray
Peaky Blinders,1,1,3,Grace Burgess,https://peaky-blinders.fandom.com/wiki/Grace_Shelby
Peaky Blinders,1,1,3,The Garrison Pub,https://peaky-blinders.fandom.com/wiki/The_Garrison
Peaky Blinders,1,1,3,Harry Fenton,https://peaky-blinders.fandom.com/wiki/Harry_Fenton
Peaky Blinders,1,1,3,I wish I was in Carrickfergus,https://peaky-blinders.fandom.com/wiki/I_wish_I_was_in_Carrickfergus
Peaky Blinders,1,1,4,cinema,https://peaky-blinders.fandom.com/wiki/Penny_Crush_Cinema
Peaky Blinders,1,1,4,Campbell,https://peaky-blinders.fandom.com/wiki/Inspector_Campbell
Peaky Blinders,1,1,6,Winston Churchill,https://peaky-blinders.fandom.com/wiki/Winston_Churchill
Peaky Blinders,1,1,7,Freddie Thorne,https://peaky-blinders.fandom.com/wiki/Freddie_Thorne
Peaky Blinders,1,1,7,Danny Whizz-Bang,https://peaky-blinders.fandom.com/wiki/Danny_Whizz-Bang
Peaky Blinders,1,1,8,Charlie Strong’s Yard,https://peaky-blinders.fandom.com/wiki/Charlie_Strong%27s_Yard
Peaky Blinders,1,1,9,IRA,https://peaky-blinders.fandom.com/wiki/Irish_Republican_Army
Peaky Blinders,1,1,10,Charlie Strong,https://peaky-blinders.fandom.com/wiki/Charlie_Strong
Peaky Blinders,1,1,11,London,"https://peaky-blinders.fandom.com/wiki/London,_England"
Peaky Blinders,1,1,13,I wish I was in Carrickfergus,https://peaky-blinders.fandom.com/wiki/I_wish_I_was_in_Carrickfergus
Peaky Blinders,1,1,13,Annabelle Wallis,https://peaky-blinders.fandom.com/wiki/Annabelle_Wallis
Peaky Blinders,1,1,13,The Boy I Love is Up in the Gallery,https://peaky-blinders.fandom.com/wiki/The_Boy_I_Love_is_Up_in_the_Gallery
Peaky Blinders,1,2,1,Peaky Blinders,https://peaky-blinders.fandom.com/wiki/Peaky_Blinders
Peaky Blinders,1,2,1,Johnny Dogs,https://peaky-blinders.fandom.com/wiki/Johnny_Dogs
Peaky Blinders,1,2,1,family car,https://peaky-blinders.fandom.com/wiki/Shelby_Family_Car
Peaky Blinders,1,2,1,John,https://peaky-blinders.fandom.com/wiki/John_Shelby
Peaky Blinders,1,2,1,Arthur Shelby,https://peaky-blinders.fandom.com/wiki/Arthur_Shelby
Peaky Blinders,1,2,2,Inspector Campbell,https://peaky-blinders.fandom.com/wiki/Inspector_Campbell
Peaky Blinders,1,2,2,Freddie Thorne,https://peaky-blinders.fandom.com/wiki/Freddie_Thorne
Peaky Blinders,1,2,2,Ada Shelby,https://peaky-blinders.fandom.com/wiki/Ada_Thorne
Peaky Blinders,1,2,3,Polly Shelby,https://peaky-blinders.fandom.com/wiki/Polly_Gray
Peaky Blinders,1,2,4,Watery Lane,https://peaky-blinders.fandom.com/wiki/Watery_Lane
Peaky Blinders,1,2,4,Birmingham Evening Dispatch,https://peaky-blinders.fandom.com/wiki/Birmingham_Evening_Dispatch
Peaky Blinders,1,2,4,Winston Churchill,https://peaky-blinders.fandom.com/wiki/Winston_Churchill
Peaky Blinders,1,2,6,Charlie Strong,https://peaky-blinders.fandom.com/wiki/Charlie_Strong
Peaky Blinders,1,2,7,Grace Burgess,https://peaky-blinders.fandom.com/wiki/Grace_Shelby
Peaky Blinders,1,2,7,Cheltenham Races,https://peaky-blinders.fandom.com/wiki/Major_Races
Peaky Blinders,1,2,9,Birmingham,"https://peaky-blinders.fandom.com/wiki/Birmingham,_England"
Peaky Blinders,1,2,13,Curly,https://peaky-blinders.fandom.com/wiki/Curly
Peaky Blinders,1,2,13,the Garrison,https://peaky-blinders.fandom.com/wiki/The_Garrison
Peaky Blinders,1,2,15,Roberts,https://peaky-blinders.fandom.com/wiki/Black_Velvet_Band
Peaky Blinders,1,2,17,Black Velvet Band,https://peaky-blinders.fandom.com/wiki/Roberts
Peaky Blinders,1,2,17,Annabelle Wallis,https://peaky-blinders.fandom.com/wiki/Black_Velvet_Band
Peaky Blinders,1,2,1,,https://peaky-blinders.fandom.com/wiki/Annabelle_Wallis
Peaky Blinders,1,3,1,Grace Burgess,https://peaky-blinders.fandom.com/wiki/Grace_Burgess
Peaky Blinders,1,3,1,Thomas Shelby,https://peaky-blinders.fandom.com/wiki/Thomas_Shelby
Peaky Blinders,1,3,1,Cheltenham Races,https://peaky-blinders.fandom.com/wiki/Major_Races
Peaky Blinders,1,3,2,The Garrison Pub,https://peaky-blinders.fandom.com/wiki/The_Garrison
Peaky Blinders,1,3,3,Ryan,https://peaky-blinders.fandom.com/wiki/Ryan
Peaky Blinders,1,3,4,Polly Shelby,https://peaky-blinders.fandom.com/wiki/Polly_Shelby
Peaky Blinders,1,3,4,Ada Shelby,https://peaky-blinders.fandom.com/wiki/Ada_Shelby
Peaky Blinders,1,3,4,Freddie Thorne,https://peaky-blinders.fandom.com/wiki/Freddie_Thorne
Peaky Blinders,1,3,6,Inspector Campbell,https://peaky-blinders.fandom.com/wiki/Chester_Campbell
Peaky Blinders,1,3,7,Billy Kimber,https://peaky-blinders.fandom.com/wiki/Billy_Kimber
Peaky Blinders,1,3,8,Arthur,https://peaky-blinders.fandom.com/wiki/Arthur_Shelby_Jr.
Peaky Blinders,1,3,8,The Garrison Pub,https://peaky-blinders.fandom.com/wiki/The_Garrison
Peaky Blinders,1,3,10,Sergeant Moss,https://peaky-blinders.fandom.com/wiki/Sergeant_Moss
Peaky Blinders,1,3,11,Danny wakes,https://peaky-blinders.fandom.com/wiki/Danny_Whizz-Bang
Peaky Blinders,1,3,12,Cheltenham Races,https://peaky-blinders.fandom.com/wiki/Major_Races
Peaky Blinders,1,3,16,The Boys of the Old Brigade,https://peaky-blinders.fandom.com/wiki/The_Boys_of_the_Old_Brigade
Peaky Blinders,1,3,16,Maguire,https://peaky-blinders.fandom.com/wiki/Maguire
Peaky Blinders,1,4,1,John Shelby,https://peaky-blinders.fandom.com/wiki/John_Shelby
Peaky Blinders,1,4,1,Shelby Home,https://peaky-blinders.fandom.com/wiki/Shelby_Home
Peaky Blinders,1,4,1,Lee Family,https://peaky-blinders.fandom.com/wiki/Lee_Family
Peaky Blinders,1,4,1,Scudboat,https://peaky-blinders.fandom.com/wiki/Scudboat
Peaky Blinders,1,4,2,Finn Shelby,https://peaky-blinders.fandom.com/wiki/Finn_Shelby
Peaky Blinders,1,4,3,Thomas Shelby,https://peaky-blinders.fandom.com/wiki/Thomas_Shelby
